13028	14	23871
20732	14	23754
34797	14	33873
4249	14	5140
43690	14	42112
20728	14	23694
43191	14	12179
22017	14	24338
33705	14	49733
33705	14	39533
10685	14	11972
33705	14	46482
5718	14	22872
33702	14	28742
33705	14	49690
33705	14	4458
24738	14	24648
24997	14	10835
22017	14	34036
15281	14	35410
17552	14	40141
18993	14	11476
20726	14	23752
24147	14	3303
5951	14	5953
13028	14	23875
34170	14	3299
33705	14	4452
33705	14	49685
20728	14	23757
22017	14	33169
24738	14	30618
21673	14	23152
24970	14	44757
20732	14	24171
33705	14	39204
20726	14	24041
24400	14	23662
33705	14	49665
22129	14	3295
20731	14	21821
20728	14	25342
42011	14	24043
20730	14	23964
34967	14	27428
30465	14	23939
42011	14	24031
34967	14	6988
19971	14	19347
20730	14	23947
15281	14	24195
20732	14	23830
6012	14	10925
24738	14	49107
13028	14	23788
25371	14	23179
13835	14	35136
13028	14	23721
13028	14	24100
20728	14	23907
7026	14	24343
15089	14	23729
25371	14	25722
23128	14	23878
2750	14	3796
22017	14	25303
42166	14	26227
6767	14	4487
41864	14	8930
33705	14	49626
24077	14	28507
24738	14	42176
26223	14	15910
22017	14	4556
13028	14	4564
20729	14	23141
32619	14	25299
33705	14	44173
6113	14	5316
24997	14	5611
33705	14	4463
16162	14	13957
20732	14	26027
33705	14	49542
20730	14	26029
22129	14	3294
20732	14	24543
33705	14	18731
22017	14	5203
20730	14	24346
20730	14	25337
11156	14	11322
2750	14	43667
20729	14	23978
33702	14	31096
20731	14	25334
29972	14	8071
33705	14	49632
22017	14	34051
33705	14	44169
13028	14	4529
22017	14	24335
26710	14	11861
25371	14	23977
20730	14	23782
20732	14	23805
44605	14	12419
32490	14	14133
22017	14	34044
17552	14	37810
22129	14	3297
17552	14	43597
15281	14	14884
22684	14	4976
2939	14	3932
6767	14	30465
2939	14	3966
20414	14	47792
20668	14	31095
20730	14	23841
20731	14	23931
20728	14	23686
5335	14	19611
2750	14	3104
18660	14	18662
13028	14	23922
22017	14	24254
21673	14	23869
33705	14	33161
33705	14	4460
20729	14	23951
34967	14	13405
41864	14	26040
42226	14	37346
48833	14	24146
33705	14	49715
33705	14	39205
33705	14	49677
30845	14	29130
28312	14	29098
42425	14	20235
22017	14	24331
34967	14	27429
25101	14	7871
20732	14	23137
33705	14	49635
43690	14	32714
33705	14	44174
20730	14	23171
24970	14	15509
13028	14	24636
33705	14	49636
41864	14	25763
41182	14	49401
25371	14	23909
43788	14	23657
41864	14	7984
25371	14	25724
22017	14	23687
13028	14	23804
25371	14	23870
20728	14	23899
20731	14	23905
22927	14	23965
20732	14	25726
45058	14	22454
20728	14	13539
28512	14	30834
15456	14	24507
19037	14	24530
49093	14	4047
6767	14	4554
26710	14	42249
49093	14	33733
22017	14	4552
13028	14	34053
20730	14	26032
20730	14	23787
29073	14	10970
19348	14	5471
2776	14	3801
22017	14	24332
33705	14	49737
45251	14	32611
22927	14	23853
32619	14	26194
2750	14	1391
24296	14	24299
25371	14	23858
25371	14	25693
33705	14	49745
33705	14	49735
33705	14	4466
19222	14	12127
27433	14	5469
20728	14	23971
43690	14	33803
41864	14	14218
13028	14	4540
42011	14	24049
20726	14	24555
33705	14	49701
44605	14	13458
24667	14	29066
6727	14	6013
24738	14	24645
6687	14	24260
15002	14	22452
26312	14	32546
22927	14	23984
20728	14	23751
13028	14	24639
24738	14	42259
33705	14	49644
13028	14	23771
20730	14	18058
20728	14	23772
9679	14	35192
25033	14	38739
20728	14	25284
42011	14	24025
13028	14	17566
22017	14	34025
33973	14	33220
33705	14	4299
23203	14	34357
33705	14	4455
24287	14	24515
33705	14	49712
6969	14	6968
24077	14	34451
33705	14	4471
28312	14	24090
28512	14	36051
26710	14	42468
9426	14	20941
6767	14	11771
20730	14	23866
24370	14	27758
22017	14	3705
24296	14	24297
24667	14	7508
13835	14	18516
33705	14	49667
15281	14	24191
24096	14	24937
13028	14	25347
20732	14	23742
9679	14	35234
12916	14	12901
24738	14	23631
15089	14	23776
29452	14	24072
20730	14	23957
21250	14	33312
33705	14	24217
25371	14	24003
22017	14	23156
26710	14	25004
43327	14	1367
13028	14	23708
21005	14	39762
13028	14	34030
24077	14	34459
25371	14	25331
33705	14	49631
6727	14	3407
25371	14	23774
20732	14	14080
31973	14	24462
20730	14	23783
15281	14	24131
13028	14	34028
6687	14	43046
20730	14	23833
9781	14	9670
17552	14	11761
33705	14	49623
20731	14	23734
20726	14	23930
7026	14	7106
22927	14	26044
42281	14	6381
20728	14	23769
22927	14	15506
20728	14	25720
2939	14	3934
22017	14	34027
49093	14	32587
5724	14	38957
13028	14	25309
23837	14	23166
19037	14	24480
21005	14	39765
33702	14	24063
45386	14	21382
14899	14	23358
33705	14	49738
28512	14	29891
33705	14	4313
33705	14	41586
20728	14	23140
20730	14	23745
17908	14	4323
21673	14	23925
13028	14	24634
32619	14	25331
34797	14	3443
15281	14	24207
22017	14	4562
17142	14	24595
42011	14	24608
25371	14	25298
45251	14	23918
13028	14	34037
22927	14	23878
33705	14	4461
20731	14	23908
20726	14	23858
13028	14	24378
32774	14	31099
33705	14	4306
42011	14	24028
15280	14	5548
20726	14	23874
45251	14	23713
10685	14	24546
20730	14	23872
32774	14	24316
22017	14	24327
20730	14	23107
20729	14	23850
26710	14	26714
26710	14	13333
22017	14	4525
19169	14	42873
20726	14	23844
22927	14	36087
7088	14	42508
20729	14	25346
24667	14	15109
20731	14	23902
24997	14	10838
24667	14	29110
13835	14	27679
